Date,Period,Actual,Curtailment,Available,InstalledCapacity,CF,CurtailmentRate
2024-09-09,31,8003.098,98.55,8101.648,31781.0,0.2518202070419433,0.012164191779252813
2024-09-09,32,7501.956,128.434,7630.39,31781.0,0.23605160315912024,0.016831905053345895
2024-09-09,33,7083.255999999999,50.566,7133.821999999999,31781.0,0.2228770649129983,0.007088206013550662
2024-09-09,34,6603.236,2.2,6605.436,31781.0,0.2077730719612347,0.00033305901381831577
2024-09-09,37,6671.972,55.382,6727.353999999999,31781.0,0.20993587363519084,0.008232360003650767
2024-09-09,38,6965.294,62.568,7027.862,31781.0,0.21916535036657123,0.008902849828297709
2024-09-09,39,7557.736000000001,69.234,7626.970000000001,31781.0,0.23780673987602657,0.009077523577515054
2024-09-09,40,7872.318,392.464,8264.782000000001,31781.0,0.24770516975551432,0.0474863099837358
2024-09-09,41,8357.908,794.254,9152.162,31781.0,0.2629844246562411,0.08678321034964198
2024-09-09,42,8598.116,880.768,9478.884,31781.0,0.2705426512696265,0.09291895543821403
2024-09-09,43,9280.794,863.7139999999999,10144.508,31781.0,0.2920233472829678,0.08514104380419435
2024-09-09,44,9839.988,1003.166,10843.154,31781.0,0.30961857713728325,0.09251607050863614
2024-09-09,45,9883.912,1030.688,10914.6,31781.0,0.3110006607721595,0.09443204515053231
2024-09-09,46,9444.694,1364.754,10809.448,31781.0,0.297180516660898,0.126255660788599
2024-09-09,47,9077.306,1883.446,10960.752,31781.0,0.28562052798842075,0.17183547260260973
2024-09-09,48,8909.288,2282.596,11191.884,31781.0,0.2803337843365533,0.2039510059253652
2024-09-10,1,9080.626,2431.05,11511.676,31781.0,0.2857249929202983,0.2111812389438341
2024-09-10,2,9145.962,2809.006,11954.968,31781.0,0.28778081243510273,0.23496558083635186
2024-09-10,3,9621.644,2904.982,12526.626,31781.0,0.3027483087379252,0.23190458468226
2024-09-10,4,9838.88,3297.958,13136.838000000002,31781.0,0.3095837135395362,0.25104656082384513
2024-09-10,5,10075.11,3301.138,13376.248,31781.0,0.3170167710267141,0.2467910283960046
