Date,Period,Actual,Curtailment,Available
2023-04-12,24,9488.042,3387.208,12875.25
2023-04-12,25,9308.387999999999,3164.276,12472.663999999999
2023-04-12,26,9546.92,2687.23,12234.15
2023-04-12,27,9304.864,2477.2,11782.063999999998
2023-04-12,28,9456.568,2324.668,11781.235999999999
2023-04-12,29,9859.42,2190.316,12049.736
2023-04-12,30,9669.732,2083.614,11753.346
2023-04-12,31,9436.168,1500.49,10936.658
2023-04-12,32,9378.09,1113.048,10491.138
2023-04-12,33,9484.146,897.016,10381.162
2023-04-12,34,9437.516,824.53,10262.046
2023-04-12,35,9604.814,807.476,10412.29
2023-04-12,36,9552.538,693.034,10245.572
2023-04-12,37,9751.146,722.8,10473.946
2023-04-12,38,9687.376,709.0,10396.376
2023-04-12,39,9661.43,609.164,10270.594000000001
2023-04-12,40,9286.884,571.916,9858.8
2023-04-12,41,8627.822,538.216,9166.038
2023-04-12,42,8605.874,355.494,8961.368
2023-04-12,43,8900.144,295.718,9195.862000000001
2023-04-12,44,8747.168,300.9,9048.068
2023-04-12,45,8688.936,348.89,9037.826
2023-04-12,46,8681.994,757.976,9439.970000000001
2023-04-12,47,8839.814,1138.986,9978.800000000001
2023-04-12,48,8829.288,1278.332,10107.62
2023-04-13,1,8961.262,1357.232,10318.494
2023-04-13,2,9053.758,1211.186,10264.944
2023-04-13,3,9001.14,1239.626,10240.766
2023-04-13,4,8783.358,1406.796,10190.154
2023-04-13,5,8600.176,1448.666,10048.841999999999
2023-04-13,6,8590.266,1446.624,10036.89
2023-04-13,7,8578.848,1378.332,9957.18
2023-04-13,8,8589.19,1162.3,9751.49
2023-04-13,9,8611.119999999999,1290.368,9901.488
2023-04-13,10,8840.044,1509.0,10349.044
2023-04-13,11,9100.212,1357.52,10457.732
2023-04-13,12,9051.176,1332.634,10383.81
2023-04-13,13,8961.528,1148.394,10109.922
2023-04-13,14,8980.036,973.416,9953.452
2023-04-13,15,8885.088,876.9839999999999,9762.072
2023-04-13,16,9270.576,531.844,9802.419999999998
2023-04-13,17,9274.368,421.948,9696.316
2023-04-13,18,9144.634,324.774,9469.408
2023-04-13,19,9253.43,265.29,9518.720000000001
2023-04-13,20,9146.78,164.492,9311.272
2023-04-13,21,9067.27,40.572,9107.842
2023-04-14,36,2957.442,6.966,2964.408
2023-04-14,37,2826.464,24.05,2850.514
2023-04-14,38,2570.3399999999997,14.334,2584.6739999999995
2023-04-14,39,2775.366,55.334,2830.7
2023-04-14,40,2695.8619999999996,77.0,2772.8619999999996
2023-04-14,41,2228.768,13.95,2242.718
2023-04-15,42,2726.1240000000003,42.856,2768.9800000000005
2023-04-15,43,2680.594,97.066,2777.66
2023-04-15,44,2691.118,104.466,2795.584
2023-04-15,45,2809.522,12.634,2822.156
2023-04-15,46,2776.356,42.584,2818.94
2023-04-15,47,2988.042,125.39,3113.432
2023-04-15,48,2895.4939999999997,439.282,3334.776
2023-04-16,1,2990.7619999999997,791.482,3782.2439999999997
2023-04-16,2,3142.4320000000002,1026.8,4169.232
2023-04-16,3,3292.002,1043.966,4335.968
2023-04-16,4,3266.6040000000003,1040.502,4307.106
2023-04-16,5,3401.21,1003.452,4404.662
2023-04-16,6,3442.422,855.494,4297.916
2023-04-16,7,3490.34,624.746,4115.086
2023-04-16,8,3406.394,499.96,3906.354
2023-04-16,9,3340.8540000000003,301.098,3641.952
2023-04-16,10,3246.214,223.834,3470.048
2023-04-16,11,3123.296,106.246,3229.542
2023-04-16,12,2987.198,14.166,3001.364
2023-04-18,25,6903.8,35.0,6938.8
2023-04-18,33,8562.854,53.5,8616.354
2023-04-18,34,8812.856,10.3,8823.155999999999
2023-04-18,36,9303.41,49.274,9352.684
2023-04-18,37,9091.288,229.95,9321.238000000001
2023-04-18,38,9267.652,132.53199999999998,9400.184
2023-04-19,21,9514.186,15.124,9529.31
2023-04-19,22,9979.444,20.446,9999.89
2023-04-19,23,9938.6,168.16,10106.76
2023-04-19,24,9896.414,355.352,10251.766000000001
2023-04-19,25,10004.352,755.3340000000001,10759.686000000002
2023-04-19,26,10246.364,963.2,11209.564
2023-04-19,27,10227.318,861.5319999999999,11088.849999999999
2023-04-19,28,10187.331999999999,1029.532,11216.863999999998
2023-04-19,29,10363.752,823.634,11187.386
2023-04-19,30,10345.322,864.45,11209.772
2023-04-19,31,10111.01,1279.358,11390.368
2023-04-19,32,10172.06,1123.544,11295.604
2023-04-19,33,10225.583999999999,1072.95,11298.534
2023-04-19,34,10112.74,901.954,11014.694
2023-04-19,35,10055.13,840.76,10895.89
2023-04-19,36,9966.958,734.066,10701.024000000001
2023-04-19,37,9851.172,736.5,10587.672
2023-04-19,38,9739.938,746.5,10486.438
2023-04-19,39,9292.274000000001,743.0,10035.274000000001
2023-04-19,40,8866.898,728.5,9595.398
2023-04-19,41,8960.812,690.184,9650.996
2023-04-19,42,9259.726,413.716,9673.442000000001
2023-04-19,43,9300.052,286.272,9586.324
2023-04-19,44,9231.146,61.408,9292.554
2023-04-20,4,7254.1539999999995,2.994,7257.147999999999
2023-04-20,5,6919.778,146.87,7066.648
2023-04-20,36,9885.601999999999,2.1100000000000003,9887.712
2023-04-20,37,9655.348,8.6,9663.948
2023-04-20,38,9577.316,11.516,9588.832
2023-04-20,39,9252.81,5.352,9258.162
2023-04-21,22,8790.752,66.072,8856.824
2023-04-21,23,8131.144,360.712,8491.856
2023-04-21,24,7621.764,932.418,8554.182
2023-04-21,25,7433.492,882.064,8315.556
2023-04-21,26,7112.516,1154.882,8267.398
2023-04-21,27,6366.905999999999,1684.71,8051.615999999999
2023-04-21,28,5818.024,2086.592,7904.616
2023-04-21,29,5644.852,2072.514,7717.366
2023-04-21,30,5783.88,1948.43,7732.31
2023-04-21,31,5706.606,1946.484,7653.09
2023-04-21,32,5489.0779999999995,1748.264,7237.342
2023-04-21,33,5606.52,1453.838,7060.358
2023-04-21,34,5518.700000000001,1364.634,6883.334000000001
2023-04-21,35,5369.818,1111.948,6481.7660000000005
2023-04-21,36,5291.644,877.842,6169.486
2023-04-21,37,5470.110000000001,476.782,5946.892000000001
2023-04-21,38,5282.154,340.92,5623.0740000000005
2023-04-21,39,5081.33,165.878,5247.208
2023-04-21,40,5142.554,16.248,5158.802
2023-04-22,17,3564.904,25.474,3590.378
2023-04-23,9,4752.474,6.266,4758.74
2023-04-23,10,4919.832,38.65,4958.482
2023-04-23,14,5368.536,42.732,5411.268
2023-04-23,15,5529.222,84.382,5613.603999999999
2023-04-23,16,5577.6900000000005,99.182,5676.872
2023-04-23,17,5404.896,91.712,5496.608
2023-04-23,18,5263.18,137.436,5400.616
2023-04-23,19,5138.72,274.85,5413.570000000001
2023-04-23,20,5167.286,403.848,5571.134
2023-04-23,21,5108.748,413.7,5522.447999999999
2023-04-23,22,5112.524,554.134,5666.658
2023-04-23,23,5145.222,679.982,5825.204
2023-04-23,24,4489.912,681.066,5170.978
2023-04-23,25,4353.23,666.816,5020.045999999999
2023-04-23,26,4281.668,767.982,5049.65
2023-04-23,27,4067.926,1027.728,5095.654
2023-04-23,28,4119.568,1025.368,5144.936
2023-04-23,29,4157.336,1063.648,5220.984
2023-04-23,30,3979.7200000000003,1075.45,5055.17
2023-04-23,31,4133.614,1072.484,5206.098
2023-04-23,32,4420.822,1147.544,5568.366
2023-04-23,33,4735.448,1103.446,5838.894
